datetime,open,high,low,close,volume,name
2020-04-09,8160.48682,8227.90723,8072.54004,8150.51074,2514958769,IXIC
2020-04-08,7976.12598,8113.50977,7902.13379,8083.85645,3848684617,IXIC
2020-04-07,8128.74756,8141.41650,7881.21680,7883.75635,6730246704,IXIC
2020-04-06,7659.98828,7937.72266,7618.31641,7908.13135,3032117348,IXIC
2020-04-03,7477.27002,7518.72021,7288.10986,7373.08008,3279100000,IXIC
2020-04-02,7317.45020,7501.70020,7307.95020,7487.31006,3608190000,IXIC
2020-04-01,7459.50000,7566.37012,7301.97998,7360.58008,3685510000,IXIC
2020-03-31,7740.06006,7880.31006,7642.85986,7700.10010,4059700000,IXIC
2020-03-30,7583.45996,7784.35010,7539.97021,7774.14990,3846900000,IXIC
2020-03-27,7554.25000,7716.24023,7491.14014,7502.37988,3977010000,IXIC
2020-03-26,7462.20996,7809.83008,7462.20996,7797.54004,3999850000,IXIC
2020-03-25,7421.35986,7671.20996,7276.39990,7384.29980,4666440000,IXIC
2020-03-24,7196.14990,7418.37012,7169.85986,7417.85986,4417380000,IXIC
2020-03-23,6847.27979,6984.93994,6631.41992,6860.66992,4330610000,IXIC
2020-03-20,7248.06982,7354.43994,6854.66992,6879.52002,5239940000,IXIC
2020-03-19,6996.45020,7341.37988,6858.37988,7150.58008,4762170000,IXIC
2020-03-18,6902.31982,7182.83008,6686.35986,6989.83984,4890820000,IXIC
2020-03-17,7072.00000,7406.22998,6828.91016,7334.77979,4900000000,IXIC
2020-03-16,7392.72998,7422.20020,6882.85986,6904.58984,4594360000,IXIC
2020-03-13,7610.39014,7875.93018,7219.08984,7874.87988,4685890000,IXIC
2020-03-12,7398.58008,7712.33008,7194.66992,7201.79980,5066530000,IXIC
2020-03-11,8136.25000,8181.35986,7850.95020,7952.04980,4273890000,IXIC
2020-03-10,8219.75977,8347.40039,7930.43018,8344.25000,4431930000,IXIC
2020-03-09,7957.93018,8243.30957,7943.16016,7950.68018,4530350000,IXIC
