datetime,open,high,low,close,name,volume
2020-04-03,6792.41992,7033.10986,6615.97998,6774.66992,BTC,
2020-04-02,6699.58008,7154.56982,6569.14014,6806.35010,BTC,
2020-04-01,6423.12988,6669.81006,6153.66992,6639.93994,BTC,
2020-03-31,6384.00000,6515.29980,6341.29004,6410.77002,BTC,
2020-03-30,5892.29004,6560.00000,5865.97998,6394.43018,BTC,
2020-03-29,6242.02979,6261.04004,5877.54004,5882.18994,BTC,
2020-03-28,6297.52002,6322.70020,6051.35010,6245.29004,BTC,
2020-03-27,6745.43018,6831.70996,6323.60986,6363.50000,BTC,
2020-03-26,6687.50000,6775.72021,6534.70996,6737.37012,BTC,
2020-03-25,6734.00977,6938.49023,6470.08984,6679.68018,BTC,
2020-03-24,6466.58984,6827.66992,6388.20996,6747.72021,BTC,
2020-03-23,5803.37988,6566.20020,5694.91016,6482.14014,BTC,
2020-03-22,6179.06006,6403.95996,5747.93018,5817.85986,BTC,
2020-03-21,6213.31006,6443.54980,5890.50000,6190.00000,BTC,
2020-03-20,6165.56006,6898.02979,5757.02002,6208.43018,BTC,
2020-03-19,5406.39014,6389.08008,5264.75977,6168.45020,BTC,
2020-03-18,5325.18994,5426.39990,5012.85010,5395.85010,BTC,
2020-03-17,5084.95996,5510.00977,4945.06982,5331.58008,BTC,
2020-03-16,5360.16992,5363.04980,4468.10986,5024.35010,BTC,
2020-03-15,5174.68018,5901.29004,5109.95996,5364.49023,BTC,
2020-03-14,5534.68994,5629.47021,5061.91016,5177.10010,BTC,
2020-03-13,4846.49023,5886.60986,3783.51001,5580.83984,BTC,
2020-03-12,7944.60010,7961.50977,4509.95020,4858.37988,BTC,
2020-03-11,7886.16016,7973.31006,7599.14990,7932.81006,BTC,
2020-03-10,7930.49023,8145.77002,7758.54980,7886.43018,BTC,
2020-03-09,8037.02979,8152.58984,7649.37012,7934.89990,BTC,
2020-03-08,8885.00000,8885.00000,8009.58984,8029.56982,BTC,
2020-03-07,9134.48047,9167.53027,8846.54980,8885.91016,BTC,
2020-03-06,9044.24023,9165.04980,8992.79980,9133.59961,BTC,
2020-03-05,8757.65039,9153.04004,8757.65039,9059.99023,BTC,
