datetime,open,high,low,close,volume,name
2020-04-01,7584.01904,7701.64453,7424.00977,7492.36084,392108885,NDX
2020-03-31,7858.82178,8011.59619,7765.48877,7808.27588,986496790,NDX
2020-03-30,7695.22363,7902.08545,7654.16992,7885.62158,439158921,NDX
2020-03-27,7660.83008,7817.32080,7580.55762,7584.97803,1213602998,NDX
2020-03-26,7553.00928,7910.91016,7553.00928,7896.96777,1907945236,NDX
2020-03-25,7539.93555,7776.91553,7390.57080,7469.07471,2638433035,NDX
2020-03-24,7348.77881,7547.62256,7304.56006,7547.62256,1110710814,NDX
2020-03-23,6968.27734,7145.28955,6772.55713,7002.03320,639522645,NDX
2020-03-20,7391.21533,7486.90088,6969.76611,6983.62012,968147075,NDX
2020-03-19,7190.20850,7514.13477,7037.47168,7289.15186,148550031,NDX
2020-03-18,7035.33398,7335.18066,6837.72217,7237.39307,100264114,NDX
2020-03-17,7202.24756,7549.69336,6959.98096,7473.14795,103036664,NDX
2020-03-16,7502.26221,7562.51416,6994.23682,7013.83203,573500023,NDX
2020-03-12,7475.49023,7612.18604,7330.13525,7381.77100,352986052,NDX
2020-03-11,8165.92188,8224.46387,7903.72168,8007.53271,1420147189,NDX
2020-03-10,8217.00586,8372.02344,7942.13232,8372.02344,740262716,NDX
2020-03-09,7917.48047,8241.67969,7914.60449,7945.21826,1179199095,NDX
2020-03-06,8399.49121,8570.18750,8320.26855,8527.58301,1438078088,NDX
2020-03-05,8717.36035,8863.70508,8613.90527,8676.14062,1139465427,NDX
2020-03-04,8749.66406,8952.10840,8669.76074,8945.38379,472406600,NDX
2020-03-03,8892.67871,9000.10059,8516.58398,8586.41797,1976226147,NDX
2020-03-02,8569.91016,8879.38965,8446.50000,8877.98047,4232760000,NDX
2020-02-28,8133.85010,8490.46973,8133.85010,8461.83008,5301170000,NDX
2020-02-27,8632.54004,8786.67969,8430.53027,8436.66992,108670000,NDX
2020-02-26,8883.00977,9032.87988,8813.91992,8873.75977,3567830000,NDX
2020-02-25,9167.33008,9183.78027,8807.11035,8834.87012,3583400000,NDX
2020-02-24,9055.29980,9194.91016,9028.87012,9079.62988,3177000000,NDX
2020-02-21,9582.54004,9594.00000,9406.37988,9446.69043,2743010000,NDX
2020-02-20,9696.66016,9714.23047,9513.23047,9627.83008,2735610000,NDX
2020-02-19,9683.94043,9736.57031,9676.07031,9718.73047,2462530000,NDX
2020-02-18,9567.28027,9647.71973,9567.28027,9629.79980,2273460000,NDX
2020-02-14,9613.87988,9634.75000,9583.08008,9623.58008,2222240000,NDX
2020-02-13,9540.66992,9636.41016,9532.74023,9595.70020,2239270000,NDX
2020-02-12,9569.82031,9615.91016,9552.03027,9613.20020,2355000000,NDX
2020-02-11,9567.80957,9600.04980,9493.62988,9517.86035,2423670000,NDX
2020-02-10,9373.20020,9517.74023,9373.20020,9516.83984,2179310000,NDX
2020-02-07,9397.76953,9453.24023,9376.91016,9401.09961,2238670000,NDX
2020-02-06,9395.69043,9448.71973,9357.86035,9445.91992,2267300000,NDX
2020-02-05,9441.33984,9442.75000,9311.87988,9367.48047,2462470000,NDX
2020-02-04,9256.94043,9352.95996,9224.86035,9334.05957,2445420000,NDX
2020-02-03,9033.51953,9148.50000,9031.07031,9126.23047,2420510000,NDX
2020-01-31,9169.91016,9170.21973,8961.58984,8991.50977,2685840000,NDX
2020-01-30,9038.91992,9140.69043,9019.71973,9136.08984,2333500000,NDX
2020-01-29,9141.51953,9153.08008,9067.29004,9101.61035,2223480000,NDX
2020-01-28,9013.23047,9111.32031,8994.28027,9090.92969,2157830000,NDX
2020-01-27,8913.16016,9001.44043,8910.96973,8952.17969,2583330000,NDX
2020-01-24,9266.34961,9272.37012,9101.44043,9141.46973,2611710000,NDX
2020-01-23,9186.13965,9221.12988,9145.23047,9216.98047,2460050000,NDX
2020-01-22,9212.34961,9242.48047,9179.26953,9188.58008,2449390000,NDX
2020-01-21,9145.63965,9187.41992,9141.78027,9166.62988,2684540000,NDX
2020-01-17,9159.48047,9176.46973,9118.98047,9173.73047,2522670000,NDX
2020-01-16,9088.08008,9126.07031,9066.30957,9125.00000,2301400000,NDX
2020-01-15,9039.30957,9078.87012,9008.95020,9035.66992,2435650000,NDX
2020-01-14,9068.01953,9080.16016,9020.91992,9033.41992,2542170000,NDX
2020-01-13,9007.94043,9071.53027,8991.34961,9070.65039,2530270000,NDX
2020-01-10,9021.87988,9024.87012,8951.83008,8966.63965,2378990000,NDX
2020-01-09,8990.04004,9004.54980,8938.53027,8989.62988,2534700000,NDX
2020-01-08,8845.45020,8953.54980,8834.94043,8912.37012,2464090000,NDX
2020-01-07,8857.13965,8872.46973,8821.67969,8846.45020,2352850000,NDX
2020-01-06,8713.88965,8849.98047,8713.88965,8848.51953,2788120000,NDX
2020-01-03,8755.16992,8843.65039,8755.16992,8793.90039,2567400000,NDX
2020-01-02,8802.21973,8873.62988,8786.90039,8872.21973,2848370000,NDX
