datetime,open,high,low,close,volume,name
2020-04-03,2515.97998,2538.17993,2460.75000,2488.57007,2249248488,SNP
2020-04-02,2457.53003,2532.76001,2455.80005,2525.67993,2645023668,SNP
2020-04-01,2490.07007,2522.75000,2447.48999,2471.87012,2584120998,SNP
2020-03-31,2614.82007,2640.98999,2571.14990,2578.52002,2407325533,SNP
2020-03-30,2565.37988,2631.80005,2545.28003,2626.04004,2225339428,SNP
2020-03-27,2543.04004,2615.90991,2520.65991,2540.04004,2063538660,SNP
2020-03-26,2521.12012,2637.01001,2506.44995,2629.37012,2655840625,SNP
2020-03-25,2457.77002,2571.41992,2407.53003,2475.34009,3183872257,SNP
2020-03-24,2344.43994,2449.70996,2344.43994,2446.68994,3398529962,SNP
2020-03-23,2271.82007,2300.72998,2191.86011,2235.76001,3288995401,SNP
2020-03-20,2432.04004,2453.01001,2295.56006,2303.90991,4055095419,SNP
2020-03-19,2387.16992,2466.96997,2319.78003,2409.60010,1361059233,SNP
2020-03-18,2436.50000,2452.33008,2280.52002,2406.15991,630692962,SNP
2020-03-17,2447.46997,2553.92993,2367.25000,2528.46997,592564285,SNP
2020-03-16,2493.97998,2562.97998,2380.93994,2384.78003,1824769845,SNP
2020-03-13,2601.15991,2708.41992,2492.37012,2707.95996,4200292160,SNP
2020-03-12,2571.31006,2656.03003,2478.86011,2479.95996,4499165415,SNP
2020-03-11,2825.60010,2825.60010,2707.53003,2739.88989,3476986995,SNP
2020-03-10,2833.59009,2881.80005,2734.16992,2881.80005,3537870811,SNP
2020-03-09,2804.70996,2838.62988,2734.42993,2746.46997,3466587840,SNP
2020-03-06,2940.70996,2985.91992,2901.54004,2972.31006,2897212858,SNP
2020-03-05,3075.69995,3083.04004,2999.83008,3024.72998,2412262431,SNP
2020-03-04,3052.57007,3130.96997,3034.37988,3129.44995,2215035369,SNP
2020-03-03,3095.85010,3136.71997,2976.87988,3001.87988,3005322290,SNP
2020-03-02,2974.28003,3090.95996,2945.18994,3090.22998,6376400000,SNP
2020-02-28,2916.89990,2959.71997,2855.84009,2954.21997,8563850000,SNP
2020-02-27,3062.54004,3097.07007,2977.38989,2978.76001,7058840000,SNP
2020-02-26,3139.89990,3182.51001,3108.98999,3116.38989,5478110000,SNP
2020-02-25,3238.93994,3246.98999,3118.77002,3128.20996,5591510000,SNP
2020-02-24,3257.61011,3259.81006,3214.64990,3225.88989,4842960000,SNP
2020-02-21,3360.50000,3360.76001,3328.44995,3337.75000,3899270000,SNP
2020-02-20,3380.44995,3389.14990,3341.02002,3373.22998,4007320000,SNP
2020-02-19,3380.38989,3393.52002,3378.83008,3386.14990,3600150000,SNP
2020-02-18,3369.04004,3375.01001,3355.61011,3370.29004,3746720000,SNP
2020-02-14,3378.08008,3380.68994,3366.14990,3380.15991,3398040000,SNP
2020-02-13,3365.89990,3385.09009,3360.52002,3373.93994,3498240000,SNP
2020-02-12,3370.50000,3381.46997,3369.71997,3379.44995,3926380000,SNP
2020-02-11,3365.87012,3375.62988,3352.71997,3357.75000,3760550000,SNP
2020-02-10,3318.28003,3352.26001,3317.77002,3352.09009,3450350000,SNP
2020-02-07,3335.54004,3341.41992,3322.12012,3327.70996,3730650000,SNP
2020-02-06,3344.91992,3347.95996,3334.38989,3345.78003,3868370000,SNP
2020-02-05,3324.90991,3337.58008,3313.75000,3334.68994,4117730000,SNP
2020-02-04,3280.61011,3306.91992,3280.61011,3297.59009,3995320000,SNP
2020-02-03,3235.65991,3268.43994,3235.65991,3248.91992,3757910000,SNP
2020-01-31,3282.33008,3282.33008,3214.67993,3225.52002,4527830000,SNP
2020-01-30,3256.44995,3285.90991,3242.80005,3283.65991,3787250000,SNP
2020-01-29,3289.45996,3293.46997,3271.88989,3273.39990,3584500000,SNP
2020-01-28,3255.35010,3285.78003,3253.21997,3276.23999,3526720000,SNP
2020-01-27,3247.15991,3258.85010,3234.50000,3243.62988,3823100000,SNP
2020-01-24,3333.10010,3333.17993,3281.53003,3295.46997,3707130000,SNP
2020-01-23,3315.77002,3326.87988,3301.87012,3325.54004,3764860000,SNP
2020-01-22,3330.02002,3337.77002,3320.04004,3321.75000,3619850000,SNP
2020-01-21,3321.03003,3329.79004,3316.61011,3320.79004,4105340000,SNP
2020-01-17,3323.65991,3329.87988,3318.86011,3329.62012,3698170000,SNP
2020-01-16,3302.96997,3317.11011,3302.82007,3316.81006,3535080000,SNP
2020-01-15,3282.27002,3298.65991,3280.68994,3289.29004,3716840000,SNP
2020-01-14,3285.35010,3294.25000,3277.18994,3283.14990,3665130000,SNP
2020-01-13,3271.12988,3288.12988,3268.42993,3288.12988,3456380000,SNP
2020-01-10,3281.81006,3282.98999,3260.86011,3265.35010,3212970000,SNP
2020-01-09,3266.03003,3275.58008,3263.66992,3274.69995,3638390000,SNP
2020-01-08,3238.59009,3267.07007,3236.66992,3253.05005,3720890000,SNP
2020-01-07,3241.86011,3244.90991,3232.42993,3237.17993,3420380000,SNP
2020-01-06,3217.55005,3246.84009,3214.63989,3246.28003,3674070000,SNP
2020-01-03,3226.36011,3246.14990,3222.34009,3234.85010,3461290000,SNP
2020-01-02,3244.66992,3258.13989,3235.53003,3257.85010,3458250000,SNP
