id,Country,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered
211,Turkey,turkey,1610,10827,37,168,57,162
212,Uganda,uganda,0,33,0,0,0,0
213,Ukraine,ukraine,73,548,3,13,2,8
214,United Arab Emirates,united-arab-emirates,41,611,2,5,3,61
215,United Kingdom,united-kingdom,2673,22453,180,1411,20,171
216,Uruguay,uruguay,6,310,0,1,0,0
217,US,us,20921,161807,511,2978,2979,5644
218,Uzbekistan,uzbekistan,5,149,0,2,0,7
219,Vatican City,vatican-city,0,1,0,0,0,0
220,Venezuela,venezuela,16,135,1,3,0,39
221,Viet Nam,vietnam,15,203,0,0,30,55
222,Vietnam,vietnam,15,203,0,0,30,55
223,West Bank and Gaza,west-bank-and-gaza,7,116,0,1,0,18
224,Zambia,zambia,6,35,0,0,0,0
225,Zimbabwe,zimbabwe,0,7,0,1,0,0
