id,close,datetime,high,low,name,open,volume
0,23704.08008,2020-04-09,24008.99023,23504.08984,DJI,23737.60938,349376403
1,23419.51953,2020-04-08,23513.40039,22682.99023,DJI,22893.47070,294800092
2,22634.44922,2020-04-07,23617.24023,22634.44922,DJI,23537.43945,378402722
3,22651.39062,2020-04-06,22783.44922,21693.63086,DJI,21693.63086,322150573
4,21052.52930,2020-04-03,21447.81055,20863.08984,DJI,21285.92969,450010000
5,21413.43945,2020-04-02,21477.76953,20735.01953,DJI,20819.46094,529540000
6,20943.50977,2020-04-01,21487.24023,20784.42969,DJI,21227.38086,506680000
7,21917.16016,2020-03-31,22480.36914,21852.08008,DJI,22208.41992,571210000
8,22327.48047,2020-03-30,22378.08984,21522.08008,DJI,21678.22070,545540000
9,21636.77930,2020-03-27,22327.57031,21469.26953,DJI,21898.47070,588830000
10,22552.16992,2020-03-26,22595.06055,21427.09961,DJI,21468.38086,705180000
11,21200.55078,2020-03-25,22019.92969,20538.33984,DJI,21050.33984,796320000
12,20704.91016,2020-03-24,20737.69922,19649.25000,DJI,19722.18945,799340000
13,18591.92969,2020-03-23,19121.00977,18213.65039,DJI,19028.35938,787970000
14,19173.98047,2020-03-20,20531.25977,19094.26953,DJI,20253.15039,872290000
15,20087.18945,2020-03-19,20442.63086,19177.13086,DJI,19830.00977,780300000
16,19898.91992,2020-03-18,20489.33008,18917.46094,DJI,20188.68945,871360000
17,21237.38086,2020-03-17,21379.34961,19882.25977,DJI,20487.05078,793060000
18,20188.51953,2020-03-16,21768.27930,20116.46094,DJI,20917.52930,770130000
19,23185.61914,2020-03-13,23189.75977,21285.36914,DJI,21973.82031,843080000
20,21200.61914,2020-03-12,22837.94922,21154.46094,DJI,22184.71094,908260000
21,23553.22070,2020-03-11,24604.63086,23328.32031,DJI,24604.63086,663960000
22,25018.16016,2020-03-10,25020.99023,23690.33984,DJI,24453.00000,654860000
23,23851.01953,2020-03-09,24992.35938,23706.07031,DJI,24992.35938,750430000
24,25864.77930,2020-03-06,25994.38086,25226.61914,DJI,25457.21094,599780000
25,26121.27930,2020-03-05,26671.91992,25943.33008,DJI,26671.91992,477370000
26,27090.85938,2020-03-04,27102.33984,26286.31055,DJI,26383.67969,457590000
27,25917.41016,2020-03-03,27084.58984,25706.27930,DJI,26762.47070,647080000
28,26703.32031,2020-03-02,26706.16992,25391.96094,DJI,25590.50977,637200000
29,25409.35938,2020-02-28,25494.24023,24681.00977,DJI,25270.83008,915990000
30,25766.64062,2020-02-27,26775.31055,25752.82031,DJI,26526.00000,664980000
31,26957.58984,2020-02-26,27542.77930,26890.97070,DJI,27159.46094,472450000
32,27081.35938,2020-02-25,28149.19922,26997.61914,DJI,28037.65039,513270000
