id,Country,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered
143,New Zealand,new-zealand,78,283,0,0,5,27
144,Nicaragua,nicaragua,0,2,0,0,0,0
145,Niger,niger,3,10,0,1,0,0
146,Nigeria,nigeria,14,65,0,1,0,2
147,North Ireland,north-ireland,0,0,0,0,0,0
148,North Macedonia,north-macedonia,24,201,0,3,2,3
149,Norway,norway,285,3369,0,14,0,6
150,occupied Palestinian territory,occupied-palestinian-territory,0,0,0,0,0,0
151,Oman,oman,10,109,0,0,6,23
152,Others,others,0,696,0,6,0,40
153,Pakistan,pakistan,138,1201,1,9,0,21
154,Palestine,palestine,0,22,0,0,0,0
155,Panama,panama,115,558,0,8,1,2
156,Papua New Guinea,papua-new-guinea,0,1,0,0,0,0
157,Paraguay,paraguay,4,41,0,3,0,0
158,Peru,peru,100,580,0,9,13,14
159,Philippines,philippines,71,707,7,45,2,28
160,Poland,poland,170,1221,2,16,0,7
161,Portugal,portugal,549,3544,17,60,21,43
162,Puerto Rico,puerto-rico,0,0,1,1,0,0
163,Qatar,qatar,12,549,0,0,2,43
164,Republic of Ireland,republic-of-ireland,0,0,0,0,0,0
165,Republic of Korea,korea-south,104,9241,5,131,414,4144
166,Republic of Moldova,republic-of-moldova,0,0,0,0,0,0
167,Republic of the Congo,republic-of-the-congo,0,0,0,0,0,0
168,Reunion,reunion,2,47,0,0,0,0
169,Romania,romania,123,1029,6,23,8,94
170,Russia,russia,182,840,0,3,9,38
171,Russian Federation,russia,182,840,0,3,9,38
172,Rwanda,rwanda,9,50,0,0,0,0
173,Saint Barthelemy,saint-barthelemy,0,1,0,0,0,0
174,Saint Kitts and Nevis,saint-kitts-and-nevis,0,0,0,0,0,0
175,Saint Lucia,saint-lucia,0,3,0,0,0,0
176,Saint Martin,saint-martin,0,0,0,0,0,0
177,Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,0,1,0,0,0,0
178,San Marino,san-marino,0,208,0,21,0,4
179,Saudi Arabia,saudi-arabia,112,1012,1,3,4,33
180,Senegal,senegal,6,105,0,0,0,9
181,Serbia,serbia,0,384,-3,1,-15,0
182,Seychelles,seychelles,0,7,0,0,0,0
183,Singapore,singapore,52,683,0,2,12,172
184,Slovakia,slovakia,10,226,0,0,-5,2
185,Slovenia,slovenia,34,562,1,6,0,10
186,Somalia,somalia,1,2,0,0,0,0
187,South Africa,south-africa,218,927,0,0,0,12
188,South Korea,korea-south,104,9241,5,131,414,4144
189,Spain,spain,8271,57786,718,4365,1648,7015
190,Sri Lanka,sri-lanka,4,106,0,0,4,7
191,St. Martin,st.-martin,0,0,0,0,0,0
192,Sudan,sudan,0,3,0,1,0,0
193,Suriname,suriname,0,8,0,0,0,0
194,Sweden,sweden,314,2840,15,77,0,16
195,Switzerland,switzerland,914,11811,38,191,0,131
196,Syria,syria,0,5,0,0,0,0
197,Taipei and environs,taipei-and-environs,0,0,0,0,0,0
198,Taiwan,taiwan,17,252,0,2,0,29
199,Taiwan*,taiwan,17,252,0,2,0,29
200,Tanzania,tanzania,1,13,0,0,0,0
201,Thailand,thailand,111,1045,0,4,18,88
202,The Bahamas,the-bahamas,0,0,0,0,0,0
203,The Gambia,the-gambia,0,0,0,0,0,0
204,Timor-Leste,timor-leste,0,1,0,0,0,0
205,Togo,togo,0,23,0,0,0,1
206,Trinidad and Tobago,trinidad-and-tobago,5,65,0,1,0,0
207,Tunisia,tunisia,24,197,1,6,0,2
208,Turkey,turkey,1196,3629,16,75,0,26
209,Uganda,uganda,0,14,0,0,0,0
210,UK,uk,61,382,2,6,0,18
211,Ukraine,ukraine,51,196,0,5,0,1
212,United Arab Emirates,united-arab-emirates,0,333,0,2,0,52
213,United Kingdom,united-kingdom,2172,11812,114,580,10,150
214,Uruguay,uruguay,28,217,0,0,0,0
215,US,us,18058,83836,267,1209,320,681
216,Uzbekistan,uzbekistan,15,75,0,0,0,0
217,Vatican City,vatican-city,0,1,0,0,0,0
218,Venezuela,venezuela,16,107,0,0,0,15
219,Viet Nam,viet-nam,0,0,0,0,0,0
220,Vietnam,vietnam,12,153,0,0,3,20
221,West Bank and Gaza,west-bank-and-gaza,0,0,0,0,0,0
222,Zambia,zambia,4,16,0,0,0,0
223,Zimbabwe,zimbabwe,0,3,0,1,0,0
